URL,Label
http://www.unilim.fr/recherche-gc/,0
https://q-r.to/bfKKuH,1
http://85.105.4.224:58091/i,1
https://www.mywheels.org/home.html,0
https://www.artcollective.com,0
https://mobile.mail.yahoo.com/apps/affiliateRouter?brandUrl=https%3A%2F%2Fgoogleads.g.doubleclick.net%2Fpcs%2Fclick%3Fxai%3DavIWtOIS9cC6egQo_xI4ib-1lnN17s-wTI8ACLktzLvt5VirVLPp8ALsiUGeFPPWsgpP1jDFhkRB6_1lnN17s_QBD8uuFSm-sR-TOxm2ZGUROllJ4VobzOjxKsVAmwawhiWwwzwPyBj9kjA0YbCFEtqkoecWeGeoZsPGBqbA_sR5_x95HSy8JylegftXpPFqoMVV4cjanocle-HLfyruyuMImUkAGgi58W9bYLPwhh8NrhDUMbUVYTRQ9j0f0OAEcQmpuq1t1gYmrSjXzEQlSvxn4PSQGNkMSmEMDXyJeIRaL39mwiXeyt0ZR063Ca7RR--kVv19W-QBD8uuFSm7-RqSbaxvdG1AT6QsSkgeCFLzHhyk9hjsYYLi351d1iqmlTZ80H9QU424AZlLHRrGDAF6jIkk7HsfKpM9ek69l-sR07-1lnN17s2%26sai%3DAMfl-HLfyruyuMImUkAGgi58W9bYLPwhh8NrhDUMbUVYTRQ9j0f0OAEcQmpuq1t1gYmrSjXzEQlSvxn4PSQGNkMSmEMDXyJeIRaL39mwiXeyt0ZR063Ca7RR-avIWtOIS9cC6egQo%26sig%3DCg0ArKJSzInZxu09ZY-n%26fbs_aeid%3D%5Bgw_fbsaeid%5D%26adurl%3D%26adurl%3Dhttps%3A%2F%2Ftrack.nifesnet.com%2Fc726b50c-5942-4eea-a738-d332a080cd23?email=ald159pen@aol.com%3F%26nm%3D4%26nx%3D371%26ny%3D-43%26mb%3D2&amp;appName=YMailNorrin&amp;partner=1&amp;locale=1&amp;buckets=C6sbPzQMWi4FA7aUKojQlWDlXTyUiVxD2DwWT,1
http://www.fstcm.com.cn/en,0
https://www.eleclink.co.uk,0
https://q-r.to/bgc3Kh,1
http://175.107.1.42:55409/Mozi.m,1
http://alpha-environmental.net/,0
https://www.fkatwigsofficial.com,0
http://www.novartis.ca/en/index.shtml,0
https://douchebags.com/,0
http://42.227.203.81:35809/bin.sh,1
https://docs.google.com/presentation/d/e/2PACX-1vSfLRHSPV862Qd8Xk_Cil0IYEg-XAyS1tatWAop0f9MjztFul0rvV0n35XskDlddk_X2oWGK2GVcH9g/pub?start=false&amp;loop=false&amp;delayms=3000,1
https://www.rationalbio.com/,0
http://www.h-rise.jp/la_en/index.php,0
https://lite.evernote.com/note/ab48c1a3-38b5-d026-a50b-bd9b7b68d1c5,1
http://www.mission4health.com/,0
vk-psich.hut2.ru,1
https://www.lacucaracha.info,0
https://qrco.de/bfTZ4P,1
http://www.foutapedia.net/culbe/index.htm,0
http://allegro.pi-oferta-91005628316274.rest/,1
https://www.historicpittsburgh.org,0
http://manitobabee.org/hive/,0
http://www.ffk.no/,0
https://www.lovelyluckylife.com,0
https://balios-adso.web.app/,1
http://www.sysco.ns.ca/,0
http://66.150.198.142/lOqpXUmQJccVjyn149.bin,1
http://www.artsenzondergrenzen.nl,0
http://nsdm.cumpar-auto-orice-tip.ro/yuop/66e42cf42e212_otr_raccoon.exe#kisotrraccon,1
https://www.ktph.com.sg/main/home,0
http://malw.esalesin.com/prog/vfasmd.exe,1
https://www.weather.in.ua,0
http://www.pplc.us/,0
http://95.169.203.171/FBI.i486,1
http://www.isgroupe.com/en/,0
http://males.mugutu.com/yuop/66c5dccb8d59d_File.exe,1
